iter	Passed	Remaining
0	8	8225
1	12	6136
2	16	5499
3	22	5590
4	28	5658
5	33	5597
6	39	5583
7	45	5592
8	49	5466
9	54	5348
10	60	5406
11	64	5337
12	70	5337
13	75	5287
14	81	5322
15	86	5347
16	92	5336
17	98	5353
18	103	5368
19	107	5280
20	112	5237
21	118	5260
22	124	5283
23	129	5270
24	135	5298
25	142	5342
26	147	5308
27	152	5300
28	157	5289
29	164	5308
30	169	5305
31	175	5312
32	180	5279
33	185	5273
34	191	5285
35	196	5274
36	202	5261
37	208	5273
38	213	5259
39	217	5226
40	225	5269
41	231	5279
42	237	5295
43	244	5317
44	250	5310
45	256	5327
46	262	5331
47	268	5325
48	274	5331
49	280	5325
50	286	5326
51	291	5310
52	297	5307
53	302	5294
54	307	5290
55	314	5295
56	318	5276
57	323	5248
58	329	5257
59	334	5242
60	339	5227
61	345	5219
62	351	5226
63	357	5224
64	362	5217
65	366	5186
66	371	5171
67	376	5166
68	382	5164
69	387	5154
70	394	5158
71	399	5147
72	405	5144
73	411	5149
74	417	5150
75	423	5143
76	429	5149
77	435	5149
78	441	5144
79	447	5148
80	454	5153
81	460	5160
82	467	5160
83	471	5141
84	478	5152
85	484	5145
86	490	5148
87	495	5140
88	501	5134
89	507	5130
90	511	5111
91	517	5102
92	522	5094
93	528	5093
94	533	5085
95	540	5087
96	546	5086
97	551	5080
98	558	5078
99	563	5069
100	568	5063
101	574	5061
102	580	5056
103	586	5049
104	591	5044
105	597	5040
106	603	5039
107	609	5034
108	615	5033
109	622	5038
110	628	5031
111	634	5028
112	639	5022
113	645	5014
114	650	5008
115	656	4999
116	662	4996
117	667	4990
118	672	4980
119	677	4969
120	684	4969
121	688	4958
122	694	4950
123	700	4951
124	706	4945
125	712	4943
126	718	4941
127	724	4932
128	729	4926
129	735	4921
130	741	4917
131	746	4910
132	752	4905
133	757	4897
134	764	4899
135	771	4898
136	779	4907
137	784	4901
138	790	4898
139	797	4896
140	803	4892
141	809	4889
142	814	4883
143	819	4873
144	826	4873
145	832	4871
146	838	4867
147	845	4864
148	850	4858
149	854	4842
150	861	4841
151	867	4837
152	872	4832
153	880	4835
154	885	4830
155	891	4822
156	895	4810
157	901	4803
158	906	4794
159	912	4792
160	918	4785
161	924	4782
162	929	4770
163	934	4764
164	941	4762
165	946	4755
166	950	4741
167	956	4736
168	962	4734
169	968	4729
170	975	4728
171	981	4724
172	987	4719
173	992	4713
174	998	4705
175	1004	4703
176	1010	4698
177	1015	4691
178	1022	4689
179	1027	4681
180	1033	4677
